case_id,fraud_type,pattern,description
C001,card_cloning,large purchase from new device in foreign country,"Cardholder's details were skimmed and cloned. Fraudster made a large electronics purchase from a device never seen before, in a country the victim had never transacted from. Amount was 6x the victim's average spend."
C002,card_cloning,rapid small purchases followed by large purchase,"Cloned card tested with several small transactions under $5 within minutes, then a single large purchase at an electronics retailer. Classic card testing followed by cash-out."
C003,account_takeover,password reset then immediate high-value transfer,"Attacker gained access via credential stuffing, changed the password, added a new payee and transferred nearly the full balance within 20 minutes, at 3 AM local time."
C004,account_takeover,login from new device and new geography,Account accessed from a device and IP geolocation never associated with the user. Attacker changed notification settings before initiating transfers to mule accounts.
C005,money_mule,many small incoming transfers then single large outgoing,"Account received dozens of small transfers from unrelated senders over two days, then forwarded the aggregate sum to an overseas account. Typical mule layering behaviour."
C006,money_mule,dormant account suddenly routing funds,A dormant account with no activity for 8 months suddenly began receiving and immediately forwarding transfers. Device used was shared with three other flagged accounts.
C007,synthetic_identity,new account fast ramp-up to credit limit,"Account opened with a synthetic identity (real SSN fragment, fake name). Small normal purchases for two weeks to build trust, then maxed out available credit on gift cards."
C008,synthetic_identity,multiple accounts sharing one device,Five newly created accounts with different identities all operated from the same physical device. Each account transacted just below reporting thresholds.
C009,phishing_scam,victim-initiated transfer to fraudster account,Victim was socially engineered by a fake bank support call and personally authorised a transfer to a 'safe account' controlled by the fraudster. Transfer was 10x the victim's usual amount.
C010,phishing_scam,OTP interception and instant drain,Fraudster phished the victim's one-time passcode and drained the account via three consecutive maximum-value transfers within five minutes.
C011,card_testing,burst of tiny online transactions,"Stolen card numbers validated through a burst of 15 sub-dollar transactions at an online donation page within two minutes, from a single device cycling through many cards."
C012,refund_fraud,"purchase, refund to different instrument",Fraudster purchased high-value goods and manipulated support into refunding onto a different card. Repeated across several accounts sharing the same device fingerprint.
C013,crypto_offramp,large transfer to crypto exchange at odd hours,"Compromised account transferred a large sum to a crypto exchange at 2 AM, far exceeding the user's typical spend, immediately after a login from a new device."
C014,crypto_offramp,structured transfers below limits to exchange,"Series of transfers each just under the daily limit sent to a crypto exchange over consecutive nights, emptying the account while evading per-transaction alerts."
C015,gift_card_fraud,bulk gift card purchases after account access,"Attacker converted stolen balance into retailer gift cards — several maximum-denomination purchases in a row, a pattern almost never seen in legitimate use."
C016,velocity_abuse,many transactions in short window,"Account executed 12 transactions in under ten minutes across different merchants, inconsistent with any prior behaviour. Indicates scripted/automated cash-out."
C017,ring_activity,cluster of accounts transacting with each other,"A cluster of six accounts, several already flagged, transacted almost exclusively with each other and shared two devices. Funds cycled to obscure origin before off-ramp."
C018,ring_activity,new account funnelling to flagged receivers,Newly opened account began sending funds exclusively to accounts previously flagged for fraud. Shared device fingerprint with two of the receivers.
C019,first_party_fraud,customer disputes own legitimate purchases,Customer made purchases then filed chargebacks claiming non-receipt. Pattern repeated across billing cycles; delivery confirmations contradicted every claim.
C020,triangulation_fraud,seller uses stolen cards to fulfil orders,"Marketplace seller took orders and fulfilled them using stolen card numbers, pocketing the buyer payments. Detected via mismatched shipping and card billing identities."
C021,salary_scam,fake employer overpayment and refund request,Victim received a fraudulent 'salary overpayment' and was pressured to refund the difference to a third account before the original credit bounced.
C022,romance_scam,escalating transfers to single overseas beneficiary,"Victim sent escalating amounts to a single overseas beneficiary over weeks, each transfer larger than the last, depleting savings. No prior relationship to the receiver."
C023,invoice_fraud,supplier bank details changed before payment,Business email compromise: attacker altered a supplier's bank details on a pending invoice. Payment went to an account with no transaction history.
C024,atm_skimming,card present withdrawals in two distant cities,Physical card used for ATM withdrawals in two cities 800km apart within one hour — impossible travel indicating a cloned card in parallel use.
C025,subscription_abuse,trial abuse across linked accounts,"Dozens of trial subscriptions opened from linked accounts sharing payment instruments and devices, each cancelled just before billing."
C026,insider_collusion,employee-linked account receiving waived fees,Account linked to an employee device received systematic fee reversals and manual credit adjustments outside policy.
C027,smurfing,structured deposits under reporting threshold,"Cash deposits structured at just under the reporting threshold across multiple branches on the same day, then consolidated and wired abroad."
C028,chargeback_fraud,high-value purchase from flagged receiver network,Purchase routed to a merchant account connected to a known fraud ring; buyer account had prior chargebacks and shared a device with a flagged user.
C029,impossible_travel,logins from two continents within an hour,"Sessions initiated from IPs on two continents within 40 minutes, followed by a transfer 8x the account average to a first-time receiver."
C030,dormant_activation,long-dormant account making max transfers,"Account inactive for a year suddenly made three maximum-limit transfers at 4 AM to receivers with no prior relationship, from a newly enrolled device."
